Name,Console,Year_of_Release,ESRB_rating,Publisher,Global_players,Genre,Critic_Score,User_Score,NA_Sales,EU_Sales,JP_Sales,Other_Country_Sales,Sequel,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform,RealTime,TurnBased,VisualNovel,FirstPerson,SideScrolling,TopDown,ThirdPerson
 Tales of Xillia 2,PS3,2012,T,Namco Bandai Games,0.84,Role-Playing,71.0,7.9,0.2,0.12,0.45,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.hack//Infection Part 1,PS2,2002,T,Atari,1.27,Role-Playing,75.0,8.5,0.49,0.38,0.26,0.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.hack//Mutation Part 2,PS2,2002,T,Atari,0.68,Role-Playing,76.0,8.9,0.23,0.18,0.2,0.06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.hack//Outbreak Part 3,PS2,2002,T,Atari,0.46,Role-Playing,70.0,8.7,0.14,0.11,0.17,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007 Racing,PS,2000,T,Electronic Arts,0.53,Racing,51.0,4.6,0.3,0.2,0.0,0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007: Quantum of Solace,DS,2008,T,Activision,0.13,Action,65.0,8.7,0.11,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007: Quantum of Solace,PC,2008,T,Activision,0.03,Action,70.0,6.3,0.01,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007: Quantum of Solace,PS3,2008,T,Activision,1.14,Action,65.0,6.6,0.43,0.51,0.02,0.19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007: Quantum of Solace,Wii,2008,T,Activision,0.65,Action,54.0,7.5,0.29,0.28,0.01,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007: Quantum of Solace,X360,2008,T,Activision,1.48,Action,65.0,7.1,0.82,0.51,0.01,0.14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007: The World is not Enough,PS,2000,T,Electronic Arts,0.92,Action,61.0,6.7,0.51,0.35,0.0,0.06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 vs. 100,DS,2008,E,DSI Games,0.08,Misc,38.0,3.2,0.08,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Minute Solution,Wii,2010,E,Activision,0.08,Sports,69.9,8.5,0.06,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100 All-Time Favorites,DS,2009,E,Ubisoft,0.51,Puzzle,67.0,6.2,0.35,0.12,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001 Touch Games,DS,2011,E,Avanquest,0.31,Action,52.0,7.9,0.11,0.16,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101-in-1 Explosive Megamix,DS,2008,E,Nordcurrent,0.19,Puzzle,46.0,8.3,0.05,0.12,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101-in-1 Sports Megamix,DS,2010,E10+,Nordcurrent,0.08,Sports,41.0,7.5,0.08,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101-in-1 Sports Party Megamix,Wii,2010,E10+,Nordcurrent,0.03,Sports,41.0,6.9,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1701 A.D.,PC,2006,E10+,Deep Silver,0.3,Simulation,79.0,8.3,0.0,0.25,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18 Wheeler: American Pro Trucker,GC,2002,E,Acclaim Entertainment,0.11,Racing,52.0,6.8,0.09,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18 Wheeler: American Pro Trucker,PS2,2001,E,Acclaim Entertainment,0.4,Racing,61.0,5.7,0.2,0.15,0.0,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187: Ride or Die,PS2,2005,M,Ubisoft,0.15,Racing,52.0,6.8,0.07,0.06,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187: Ride or Die,XB,2005,M,Ubisoft,0.06,Racing,51.0,6.9,0.05,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002 FIFA World Cup,GC,2002,E,Electronic Arts,0.05,Sports,78.0,7.7,0.04,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002 FIFA World Cup,PS2,2002,E,Electronic Arts,0.59,Sports,73.0,5.6,0.21,0.17,0.16,0.06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002 FIFA World Cup,XB,2002,E,Electronic Arts,0.19,Sports,79.0,9.0,0.14,0.04,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
